Titre,image_url,type,source,episodes,status,aired,rating,score,studio,genre
Lupin the Third: Mine Fujiko to Iu Onna,https://cdn.myanimelist.net/images/anime/9/73347.jpg,TV,Manga,13,Diffusion terminé,"{'from': '2012-04-05', 'to': '2012-06-28'}",R+ - Nudité douce,7.82,TMS Entertainment,"Action, Adventure, Comedy, Ecchi, Samurai, Seinen"
Bishoujo Senshi Sailor Moon R,https://cdn.myanimelist.net/images/anime/1/740.jpg,TV,Manga,43,Diffusion terminé,"{'from': '1993-03-06', 'to': '1994-03-12'}",PG-13 - Adolescents de 13 ans ou plus,7.75,Toei Animation,"Demons, Magic, Romance, Shoujo"
Tenshi na Konamaiki,https://cdn.myanimelist.net/images/anime/2/32701.jpg,TV,Manga,50,Diffusion terminé,"{'from': '2002-04-06', 'to': '2003-03-29'}",PG-13 - Adolescents de 13 ans ou plus,7.56,TMS Entertainment,"Comedy, Magic, Romance, Shounen"
Tiger Mask W,https://cdn.myanimelist.net/images/anime/2/81903.jpg,TV,Manga,38,Diffusion terminé,"{'from': '2016-10-02', 'to': '2017-07-02'}",PG-13 - Adolescents de 13 ans ou plus,7.18,Toei Animation,"Action, Sports, Drama, Shounen"
Project ARMS,https://cdn.myanimelist.net/images/anime/10/21221.jpg,TV,Manga,26,Diffusion terminé,"{'from': '2001-04-07', 'to': '2001-09-29'}",R - 17+ (Violence et blasphèmes),7.13,TMS Entertainment,"Action, Martial Arts, Super Power"
Kindaichi Shounen no Jikenbo,https://cdn.myanimelist.net/images/anime/10/3741.jpg,TV,Manga,148,Diffusion terminé,"{'from': '1997-04-07', 'to': '2000-09-11'}",R - 17+ (Violence et blasphèmes),8.13,Toei Animation,"Mystery, Shounen"
Mamotte Shugogetten!,https://cdn.myanimelist.net/images/anime/11/14827.jpg,TV,Manga,22,Diffusion terminé,"{'from': '1998-10-17', 'to': '1999-04-03'}",PG-13 - Adolescents de 13 ans ou plus,6.76,Toei Animation,"Comedy, Fantasy, Magic, Romance, Shounen"
One Piece Movie 3: Chinjuu-jima no Chopper Oukoku,https://cdn.myanimelist.net/images/anime/8/6937.jpg,Movie,Manga,1,Diffusion terminé,"{'from': '2002-03-02', 'to': '2002-03-02'}",PG-13 - Adolescents de 13 ans ou plus,7.13,Toei Animation,"Action, Adventure, Comedy, Super Power, Fantasy, Shounen"
Kekkaishi,https://cdn.myanimelist.net/images/anime/7/75191.jpg,TV,Manga,52,Diffusion terminé,"{'from': '2006-10-16', 'to': '2008-02-05'}",PG-13 - Adolescents de 13 ans ou plus,7.69,Sunrise,"Adventure, Comedy, Fantasy, Shounen"
Ray The Animation,https://cdn.myanimelist.net/images/anime/11/33315.jpg,TV,Manga,13,Diffusion terminé,"{'from': '2006-04-05', 'to': '2006-06-28'}",PG-13 - Adolescents de 13 ans ou plus,6.74,OLM,"Drama, Romance, Sci-Fi"
