Titre,image_url,type,source,episodes,status,aired,rating,score,studio,genre
High☆Speed!: Free! Starting Days,https://cdn.myanimelist.net/images/anime/8/76967.jpg,Movie,Light novel,1,Diffusion terminé,"{'from': '2015-12-05', 'to': '2015-12-05'}",PG-13 - Adolescents de 13 ans ou plus,8.14,Kyoto Animation,"School, Slice of Life, Sports"
Toaru Majutsu no Index,https://cdn.myanimelist.net/images/anime/2/75533.jpg,TV,Light novel,24,Diffusion terminé,"{'from': '2008-10-05', 'to': '2009-03-19'}",R - 17+ (Violence et blasphèmes),7.63,J.C.Staff,"Action, Magic, Sci-Fi, Super Power"
Karin,https://cdn.myanimelist.net/images/anime/3/46833.jpg,TV,Manga,24,Diffusion terminé,"{'from': '2005-11-03', 'to': '2006-05-11'}",PG-13 - Adolescents de 13 ans ou plus,7.28,J.C.Staff,"Comedy, Romance, Vampire, School, Shounen"
Saint Seiya: Meiou Hades Juuni Kyuu-hen,https://cdn.myanimelist.net/images/anime/6/16343.jpg,OVA,Manga,13,Diffusion terminé,"{'from': '2002-11-09', 'to': '2003-07-25'}",PG-13 - Adolescents de 13 ans ou plus,8.20,Toei Animation,"Sci-Fi, Adventure, Shounen"
TV-ban Pokemon Special Masara Town-hen Recaps,https://cdn.myanimelist.net/images/anime/12/76468.jpg,OVA,Game,3,Diffusion terminé,"{'from': '2000-09-29', 'to': '2000-09-29'}",PG - Enfants,6.21,OLM,"Action, Adventure, Comedy, Kids, Fantasy"
Kannazuki no Miko,https://cdn.myanimelist.net/images/anime/8/73955.jpg,TV,Manga,12,Diffusion terminé,"{'from': '2004-10-02', 'to': '2004-12-18'}",PG-13 - Adolescents de 13 ans ou plus,7,TNK,"Supernatural, Drama, Magic, Romance, Mecha, Shounen, Shoujo Ai"
Captain Herlock,https://cdn.myanimelist.net/images/anime/5/62619.jpg,Movie,Manga,1,Diffusion terminé,"{'from': '2013-09-07', 'to': '2013-09-07'}",R - 17+ (Violence et blasphèmes),7.49,Toei Animation,"Action, Sci-Fi, Space, Drama"
Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi,https://cdn.myanimelist.net/images/anime/12/10198.jpg,Movie,Manga,1,Diffusion terminé,"{'from': '1992-03-07', 'to': '1992-03-07'}",PG-13 - Adolescents de 13 ans ou plus,7.13,Toei Animation,"Action, Sci-Fi, Adventure, Comedy, Fantasy, Shounen"
Zone of the Enders: 2167 Idolo,https://cdn.myanimelist.net/images/anime/1236/91066.jpg,OVA,Game,1,Diffusion terminé,"{'from': '2001-02-21', 'to': '2001-02-21'}",PG-13 - Adolescents de 13 ans ou plus,6.98,Sunrise,"Action, Space, Mecha, Romance, Military, Drama, Sci-Fi"
Kaitou Saint Tail,https://cdn.myanimelist.net/images/anime/6/46607.jpg,TV,Manga,43,Diffusion terminé,"{'from': '1995-10-12', 'to': '1996-09-12'}",G - Tout Ages,7.64,TMS Entertainment,"Adventure, Magic, Romance, Shoujo"
Shakugan no Shana,https://cdn.myanimelist.net/images/anime/8/21197.jpg,TV,Light novel,24,Diffusion terminé,"{'from': '2005-10-06', 'to': '2006-03-23'}",PG-13 - Adolescents de 13 ans ou plus,7.66,J.C.Staff,"Action, Drama, Fantasy, Romance, School, Supernatural"
Keiraku no Houteishiki Level-C,https://cdn.myanimelist.net/images/anime/1016/90268.jpg,OVA,Manga,1,Diffusion terminé,"{'from': '1995-07-14', 'to': '1995-07-14'}",Rx - Hentai,5.99,J.C.Staff,"Hentai, Drama, Yaoi"
Akuma-kun,https://cdn.myanimelist.net/images/anime/8/61467.jpg,TV,Manga,42,Diffusion terminé,"{'from': '1989-04-15', 'to': '1990-03-24'}",G - Tout Ages,6.32,Toei Animation,"Adventure, Fantasy, Horror, Magic, Supernatural"
Asari-chan,https://cdn.myanimelist.net/images/anime/12/64365.jpg,TV,Manga,54,Diffusion terminé,"{'from': '1982-01-25', 'to': '1983-02-28'}",G - Tout Ages,6.37,Toei Animation,"Slice of Life, Comedy, Shoujo"
Seikai no Senki,https://cdn.myanimelist.net/images/anime/11/61111.jpg,TV,Light novel,13,Diffusion terminé,"{'from': '2000-04-14', 'to': '2000-07-14'}",PG-13 - Adolescents de 13 ans ou plus,7.82,Sunrise,"Action, Military, Romance, Sci-Fi, Space"
Bishoujo Senshi Sailor Moon S,https://cdn.myanimelist.net/images/anime/1077/92346.jpg,TV,Manga,38,Diffusion terminé,"{'from': '1994-03-19', 'to': '1995-02-25'}",PG-13 - Adolescents de 13 ans ou plus,7.91,Toei Animation,"Drama, Magic, Romance, Shoujo"
Demashita! Powerpuff Girls Z,https://cdn.myanimelist.net/images/anime/12/3253.jpg,TV,Other,52,Diffusion terminé,"{'from': '2006-07-01', 'to': '2007-06-30'}",PG - Enfants,6.43,Toei Animation,"Action, Comedy, Magic, School, Sci-Fi, Shoujo, Slice of Life, Super Power"
One Piece Movie 2: Nejimaki-jima no Daibouken,https://cdn.myanimelist.net/images/anime/2/3299.jpg,Movie,Manga,1,Diffusion terminé,"{'from': '2001-03-03', 'to': '2001-03-03'}",PG-13 - Adolescents de 13 ans ou plus,7.28,Toei Animation,"Action, Adventure, Comedy, Super Power, Fantasy, Shounen"
Wizardry,https://cdn.myanimelist.net/images/anime/13/62451.jpg,OVA,Game,1,Diffusion terminé,"{'from': '1991-02-21', 'to': '1991-02-21'}",R - 17+ (Violence et blasphèmes),5.84,TMS Entertainment,"Action, Adventure, Fantasy"
City Hunter,https://cdn.myanimelist.net/images/anime/8/20587.jpg,TV,Manga,51,Diffusion terminé,"{'from': '1987-04-06', 'to': '1988-03-28'}",PG-13 - Adolescents de 13 ans ou plus,7.99,Sunrise,"Action, Comedy, Mystery, Shounen"
Kamisama Hajimemashita: Kako-hen,https://cdn.myanimelist.net/images/anime/3/81250.jpg,OVA,Manga,4,Diffusion terminé,"{'from': '2015-08-20', 'to': '2016-08-19'}",PG-13 - Adolescents de 13 ans ou plus,8.54,TMS Entertainment,"Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo"
Danball Senki W,https://cdn.myanimelist.net/images/anime/4/56963.jpg,TV,Game,58,Diffusion terminé,"{'from': '2012-01-18', 'to': '2013-03-20'}",G - Tout Ages,7.28,OLM,"Action, Kids, Mecha"
Rayearth,https://cdn.myanimelist.net/images/anime/11/61115.jpg,OVA,Manga,3,Diffusion terminé,"{'from': '1997-07-25', 'to': '1997-11-24'}",PG-13 - Adolescents de 13 ans ou plus,7,TMS Entertainment,"Action, Adventure, Fantasy"
Zetman,https://cdn.myanimelist.net/images/anime/7/35529.jpg,TV,Manga,13,Diffusion terminé,"{'from': '2012-04-03', 'to': '2012-06-26'}",R+ - Nudité douce,6.99,TMS Entertainment,"Action, Drama, Horror, Romance, Sci-Fi, Seinen, Supernatural"
City Hunter 2,https://cdn.myanimelist.net/images/anime/7/50523.jpg,TV,Manga,63,Diffusion terminé,"{'from': '1988-04-02', 'to': '1989-07-14'}",PG-13 - Adolescents de 13 ans ou plus,8.13,Sunrise,"Action, Comedy, Mystery, Shounen"
Pokemon: Mewtwo no Gyakushuu,https://cdn.myanimelist.net/images/anime/13/65699.jpg,Movie,Game,1,Diffusion terminé,"{'from': '1998-07-18', 'to': '1998-07-18'}",PG - Enfants,7.66,OLM,"Action, Adventure, Comedy, Drama, Fantasy, Kids"
Saint Seiya: Meiou Hades Elysion-hen,https://cdn.myanimelist.net/images/anime/9/55659.jpg,OVA,Manga,6,Diffusion terminé,"{'from': '2008-03-07', 'to': '2008-08-01'}",PG-13 - Adolescents de 13 ans ou plus,7.75,Toei Animation,"Action, Fantasy, Shounen, Super Power"
Jigoku Sensei Nube,https://cdn.myanimelist.net/images/anime/7/63617.jpg,TV,Manga,49,Diffusion terminé,"{'from': '1996-04-13', 'to': '1997-06-21'}",PG-13 - Adolescents de 13 ans ou plus,7.66,Toei Animation,"Adventure, Comedy, Horror, Romance, School, Shounen, Supernatural"
Gu-Gu Ganmo,https://cdn.myanimelist.net/images/anime/11/4395.jpg,TV,Manga,50,Diffusion terminé,"{'from': '1984-03-18', 'to': '1985-03-17'}",G - Tout Ages,6.17,Toei Animation,"Comedy, School, Shounen, Slice of Life"
Haruniwa Ie no 3 Nin-me,https://cdn.myanimelist.net/images/anime/10/84083.jpg,TV,Manga,45,Diffusion terminé,"{'from': '1998-01-23', 'to': '1998-03-26'}",G - Tout Ages,6.83,Toei Animation,"Slice of Life, Comedy, Supernatural"
Kimi to Boku.,https://cdn.myanimelist.net/images/anime/4/34949.jpg,TV,Manga,13,Diffusion terminé,"{'from': '2011-10-04', 'to': '2011-12-27'}",PG-13 - Adolescents de 13 ans ou plus,7.80,J.C.Staff,"Comedy, Drama, Romance, School, Shounen, Slice of Life"
Pokemon XY,https://cdn.myanimelist.net/images/anime/12/54549.jpg,TV,Game,93,Diffusion terminé,"{'from': '2013-10-17', 'to': '2015-10-22'}",PG - Enfants,7.43,OLM,"Action, Adventure, Comedy, Fantasy, Kids"
